Player,Season,Position,Team,Out,Probable,Questionable
Jordan Norwood,2012,WR,Browns,0,1,0,0
Jordan Pugh,2012,S,Redskins,0,0,1,1
Jordan Senn,2012,LB,Panthers,0,0,1,0
Jordan Todman,2012,RB,Jaguars,0,1,0,0
Jordy Nelson,2012,WR,Packers,0,3,4,2
Jorvorskie Lane,2012,RB,Dolphins,0,0,2,1
Joseph Morgan,2012,WR,Saints,0,1,1,1
Josh Bellamy,2012,WR,Chiefs,0,0,1,1
Josh Bush,2012,S,Jets,0,0,2,0
Josh Bynes,2012,LB,Ravens,0,0,2,0
Josh Chapman,2012,DT,Colts,0,0,2,0
Josh Cooper,2012,WR,Browns,0,0,2,1
Josh Cribbs,2012,WR,Browns,0,0,9,2
Josh Gordon,2012,WR,Browns,0,0,2,0
Josh Mauga,2012,LB,Jets,0,0,1,0
Josh Morgan,2012,WR,Redskins,0,0,2,0
Josh Robinson,2012,CB,Vikings,0,0,1,0
Josh Samuda,2012,G,Dolphins,0,0,0,1
Josh Sitton,2012,G,Packers,0,0,2,1
Josh Wilson,2012,CB,Redskins,0,0,10,0
Jovan Belcher,2012,LB,Chiefs,0,0,0,1
Julian Edelman,2012,WR,Patriots,0,2,3,4
Julian Stanford,2012,LB,Jaguars,0,0,1,0
Julio Jones,2012,WR,Falcons,0,0,3,2
Julius Peppers,2012,DE,Bears,0,0,3,0
Junior Galette,2012,DE,Saints,0,4,1,0
Juqua Parker,2012,DE,Browns,0,0,6,1
Juron Criner,2012,WR,Raiders,0,0,4,3
Jurrell Casey,2012,DT,Titans,0,0,1,2
Justin Bethel,2012,CB,Cardinals,0,0,1,0
Justin Bethel,2012,S,Cardinals,0,0,2,0
Justin Blackmon,2012,WR,Jaguars,0,0,2,0
Justin Blalock,2012,G,Falcons,0,0,1,0
Justin Cole,2012,LB,Rams,0,0,1,0
Justin Durant,2012,LB,Lions,0,0,1,1
Justin Forsett,2012,RB,Texans,0,0,7,0
Justin Francis,2012,DT,Patriots,0,1,0,3
Justin King,2012,CB,Colts,0,1,0,0
Justin Rogers,2012,CB,Bills,0,0,6,3
Justin Smith,2012,DT,Niners,1,0,3,1
Justin Tuck,2012,DE,Giants,0,0,1,2
K.J. Wright,2012,LB,Seahawks,0,1,1,0
Kam Chancellor,2012,S,Seahawks,0,0,4,0
Kamerion Wimbley,2012,DE,Titans,0,0,2,1
Karlos Dansby,2012,LB,Dolphins,0,0,9,0
Kassim Osgood,2012,WR,Lions,0,0,1,0
Kavell Conner,2012,LB,Colts,0,2,0,1
Kealoha Pilares,2012,WR,Panthers,0,0,1,0
Keenan Clayton,2012,LB,Raiders,1,0,1,1
Keenan Lewis,2012,CB,Steelers,0,0,3,0
Keith Brooking,2012,LB,Broncos,0,0,1,0
Keith Rivers,2012,LB,Giants,3,1,2,2
Kelechi Osemele,2012,T,Ravens,0,0,2,0
Kellen Davis,2012,TE,Bears,0,0,2,1
Kellen Heard,2012,DT,Colts,0,0,1,0
Kellen Heard,2012,DT,Rams,0,0,0,1
Kelvin Sheppard,2012,LB,Bills,0,0,1,0
Kendall Langford,2012,DT,Rams,0,0,1,0
Kendall Reyes,2012,DE,Chargers,0,0,1,0
Kendall Wright,2012,WR,Titans,0,0,1,2
Kendrick Lewis,2012,S,Chiefs,2,1,2,5
Kenny Britt,2012,WR,Titans,0,0,10,3
Kenny Onatolu,2012,LB,Panthers,0,0,1,0
Kenny Phillips,2012,S,Giants,3,5,0,4
Kenrick Ellis,2012,DT,Jets,3,1,7,1
Kenyon Coleman,2012,DT,Cowboys,0,2,1,0
Kerry Rhodes,2012,S,Cardinals,0,1,8,2
Kevin Boss,2012,TE,Chiefs,0,2,0,0
Kevin Burnett,2012,LB,Dolphins,0,0,2,1
Kevin Cone,2012,WR,Falcons,0,3,2,1
Kevin Kolb,2012,QB,Cardinals,0,4,0,3
Kevin Matthews,2012,C,Titans,0,2,0,0
Kevin Ogletree,2012,WR,Cowboys,0,1,1,2
Kevin Rutland,2012,CB,Jaguars,0,0,1,0
Kevin Smith,2012,RB,Lions,0,0,1,0
Kevin Vickerson,2012,DT,Broncos,0,0,2,0
Kevin Walter,2012,WR,Texans,0,0,4,0
Kevin Williams,2012,DT,Vikings,0,0,0,0
Kevin Zeitler,2012,G,Bengals,0,0,2,0
Keyunta Dawson,2012,DE,Titans,0,0,0,0
Khalif Barnes,2012,T,Raiders,0,6,5,1
King Dunlap,2012,T,Eagles,0,2,2,1
Kirk Cousins,2012,QB,Redskins,0,0,1,0
Knowshon Moreno,2012,RB,Broncos,0,0,3,0
Koa Misi,2012,LB,Dolphins,0,2,7,0
Kory Lichtensteiger,2012,G,Redskins,0,0,1,1
Kraig Urbik,2012,G,Bills,0,3,5,1
Kurt Coleman,2012,S,Eagles,0,2,3,0
Kyle Adams,2012,TE,Bears,0,0,0,1
Kyle Arrington,2012,CB,Patriots,0,0,0,2
Kyle Love,2012,DT,Patriots,0,0,7,6
Kyle Rudolph,2012,TE,Vikings,0,0,4,0
Kyle Vanden Bosch,2012,DE,Lions,0,0,0,1
Kyle Wilber,2012,LB,Cowboys,0,0,3,1
Kyle Williams,2012,DT,Bills,0,0,7,4
Kyle Wilson,2012,CB,Jets,0,0,1,0
LaMarr Woodley,2012,LB,Steelers,0,3,2,0
LaMichael James,2012,RB,Niners,0,0,1,0
LaQuan Williams,2012,WR,Ravens,0,0,2,1
LaRod Stephens-Howling,2012,RB,Cardinals,1,0,2,2
LaRon Byrd,2012,WR,Cardinals,1,0,0,1
LaRon Landry,2012,S,Jets,0,0,16,0
Lamar Miller,2012,RB,Dolphins,0,0,1,0
Lance Ball,2012,RB,Broncos,0,0,1,0
Lance Briggs,2012,LB,Bears,0,0,4,0
Lance Kendricks,2012,TE,Rams,0,0,0,1
Lance Louis,2012,G,Bears,0,0,1,0
Lance Moore,2012,WR,Saints,0,1,1,0
Lardarius Webb,2012,CB,Ravens,0,0,2,0
Larry English,2012,LB,Chargers,0,1,1,0
Larry Foote,2012,LB,Steelers,0,0,1,0
Laurent Robinson,2012,WR,Jaguars,0,2,2,1
Lavelle Hawkins,2012,WR,Titans,0,0,0,3
Lavonte David,2012,LB,Buccaneers,0,0,1,0
Lawrence Jackson,2012,DE,Lions,0,0,1,2
Lawrence Timmons,2012,LB,Steelers,0,0,1,0
Lawrence Vickers,2012,RB,Cowboys,0,0,5,0
LeGarrette Blount,2012,RB,Buccaneers,0,0,1,0
LeQuan Lewis,2012,CB,Buccaneers,0,1,1,2
LeSean McCoy,2012,RB,Eagles,0,4,3,0
Lee Smith,2012,TE,Bills,0,0,2,0
Leodis McKelvin,2012,CB,Bills,0,1,5,2
Leon Hall,2012,CB,Bengals,0,0,2,2
Leon Washington,2012,RB,Seahawks,0,0,1,0
Leonard Hankerson,2012,WR,Redskins,0,0,1,0
Leonard Johnson,2012,CB,Buccaneers,0,0,2,0
Leroy Harris,2012,G,Titans,0,1,3,0
Leroy Hill,2012,LB,Seahawks,0,0,0,4
Lestar Jean,2012,WR,Texans,0,2,9,0
Letroy Guion,2012,DT,Vikings,1,0,5,1
Lex Hilliard,2012,RB,Jets,0,0,1,0
Linval Joseph,2012,DT,Giants,0,0,1,0
Logan Mankins,2012,G,Patriots,1,2,0,11
Logan Paulsen,2012,TE,Redskins,0,0,1,0
London Fletcher,2012,LB,Redskins,0,0,4,5
Lorenzo Alexander,2012,LB,Redskins,0,0,3,0
Lorenzo Booker,2012,RB,Bears,0,0,0,1
Louis Delmas,2012,S,Lions,5,2,1,8
Louis Murphy,2012,WR,Panthers,0,0,1,0
Louis Vasquez,2012,G,Chargers,0,0,1,0
Lousaka Polite,2012,RB,Falcons,0,1,0,1
Luke Stocker,2012,TE,Buccaneers,0,0,2,0
Lyle Sendlein,2012,C,Cardinals,0,0,1,0
M.D. Jennings,2012,S,Packers,0,0,2,0
Ma'ake Kemoeatu,2012,DT,Ravens,0,0,2,1
Madieu Williams,2012,S,Redskins,0,0,1,0
Malcolm Jenkins,2012,S,Saints,0,1,0,0
Malcolm Williams,2012,CB,Patriots,0,0,0,1
Malcom Floyd,2012,WR,Chargers,0,0,0,0
Malik Jackson,2012,DE,Broncos,0,0,1,0
Manny Ramirez,2012,C,Broncos,0,0,1,0
Manny Ramirez,2012,G,Broncos,0,0,2,0
Marcel Jones,2012,T,Saints,0,1,0,0
Marcel Reece,2012,RB,Raiders,0,0,5,0
Marcell Dareus,2012,DE,Bills,0,0,5,1
Marcell Dareus,2012,DT,Bills,0,0,2,0
Marcus Easley,2012,WR,Bills,0,1,2,0
Marcus Gilbert,2012,T,Steelers,0,6,2,0
Marcus Sherels,2012,CB,Vikings,0,0,4,0
Marcus Spears,2012,DT,Cowboys,0,0,2,1
Marcus Trufant,2012,CB,Seahawks,1,2,1,2
Mardy Gilyard,2012,WR,Eagles,0,2,0,0
Mardy Gilyard,2012,WR,Jets,0,0,0,1
Mario Haggan,2012,LB,Rams,0,4,1,4
Mario Manningham,2012,WR,Niners,2,0,4,2
Mario Williams,2012,DE,Bills,0,0,11,0
Mark Anderson,2012,DE,Bills,0,10,0,1
Mark Sanchez,2012,QB,Jets,0,0,14,0
Markus Zusevics,2012,T,Patriots,0,0,0,1
Marlon Moore,2012,WR,Dolphins,2,0,2,0
Marques Colston,2012,WR,Saints,0,0,0,2
Marquice Cole,2012,CB,Patriots,1,0,2,0
Marshal Yanda,2012,G,Ravens,0,0,6,4
Marshall McFadden,2012,LB,Steelers,0,1,0,0
Marshall Newhouse,2012,T,Packers,0,0,2,0
Marshawn Lynch,2012,RB,Seahawks,0,0,15,1
Martellus Bennett,2012,TE,Giants,0,0,1,0
Martez Wilson,2012,DE,Saints,0,0,1,0
Martin Tevaseu,2012,DT,Colts,0,2,1,2
Marvin Austin,2012,DT,Giants,0,1,1,0
Marvin Jones,2012,WR,Bengals,1,2,2,0
Marvin Mitchell,2012,LB,Vikings,2,1,4,2
Mason Crosby,2012,K,Packers,0,0,1,0
Mathias Kiwanuka,2012,LB,Giants,0,0,0,1
Matt Asiata,2012,RB,Vikings,0,0,1,1
Matt Birk,2012,C,Ravens,0,0,1,0
Matt Bryant,2012,K,Falcons,0,0,2,0
Matt Cassel,2012,QB,Chiefs,0,1,1,0
Matt Conrath,2012,DT,Rams,1,3,0,3
Matt Daniels,2012,S,Rams,0,2,1,1
Matt Flynn,2012,QB,Seahawks,0,0,1,0
Matt Forte,2012,RB,Bears,0,1,3,1
Matt Giordano,2012,S,Raiders,0,0,3,0
Matt Johnson,2012,S,Cowboys,0,9,1,0
Matt Kalil,2012,T,Vikings,0,0,3,0
Matt Moore,2012,QB,Dolphins,0,0,2,0
Matt Ryan,2012,QB,Falcons,0,0,1,0
Matt Schaub,2012,QB,Texans,0,0,1,0
Matt Shaughnessy,2012,DE,Raiders,0,0,2,1
Matt Slauson,2012,G,Jets,0,0,13,0
Matt Spaeth,2012,TE,Bears,0,0,1,0
Matt Toeaina,2012,DT,Bears,1,1,1,1
Matt Willis,2012,WR,Broncos,0,0,8,1
Matthew Slater,2012,WR,Patriots,0,0,0,1
Matthew Stafford,2012,QB,Lions,0,0,1,0
Maurice Jones-Drew,2012,RB,Jaguars,0,9,0,0
Maurkice Pouncey,2012,C,Steelers,0,0,2,1
Max Starks,2012,T,Steelers,0,0,3,0
Max Unger,2012,C,Seahawks,0,0,3,0
Melvin Ingram,2012,LB,Chargers,0,0,1,0
Mewelde Moore,2012,RB,Colts,0,0,2,1
Michael Adams,2012,CB,Cardinals,1,0,1,3
Michael Bennett,2012,DE,Buccaneers,0,0,7,0
Michael Boley,2012,LB,Giants,0,0,2,4
Michael Brewster,2012,C,Jaguars,0,1,0,0
Michael Brockers,2012,DT,Rams,1,2,0,1
Michael Bush,2012,RB,Bears,0,0,0,2
Michael Coe,2012,CB,Giants,0,1,2,2
Michael Crabtree,2012,WR,Niners,0,0,1,0
Michael Griffin,2012,CB,Titans,0,0,1,0
Michael Griffin,2012,S,Titans,0,0,2,0
Michael Harris,2012,T,Chargers,0,0,1,1
Michael Hoomanawanui,2012,TE,Patriots,0,0,0,2
Michael Huff,2012,CB,Raiders,0,0,1,0
Michael Huff,2012,S,Raiders,0,0,1,0
Michael Jenkins,2012,WR,Vikings,0,0,1,1
Michael Johnson,2012,DE,Bengals,0,0,1,1
Michael Oher,2012,T,Ravens,0,0,3,0
Michael Otto,2012,T,Titans,0,3,0,4
Michael Palmer,2012,TE,Falcons,0,3,2,0
Michael Roos,2012,T,Titans,0,1,2,1
Michael Turner,2012,RB,Falcons,0,0,1,2
Mike Adams,2012,S,Broncos,0,0,5,0
Mike Adams,2012,T,Steelers,1,4,0,1
Mike Brisiel,2012,G,Raiders,0,0,1,1
Mike DeVito,2012,DT,Jets,0,0,8,1
Mike Gibson,2012,G,Cardinals,0,1,0,1
Mike Goodson,2012,RB,Raiders,0,3,3,3
Mike Harris,2012,CB,Jaguars,0,0,1,1
Mike Iupati,2012,G,Niners,0,0,7,0
Mike Jenkins,2012,CB,Cowboys,1,0,3,2
Mike Leach,2012,LS,Cardinals,0,0,7,0
Mike Martin,2012,DT,Titans,0,0,0,2
Mike McGlynn,2012,G,Colts,0,0,0,1
Mike McNeill,2012,TE,Rams,0,1,1,2
Mike Mitchell,2012,S,Raiders,0,0,7,0
Mike Neal,2012,DE,Packers,1,0,3,0
Mike Nugent,2012,K,Bengals,2,1,0,1
Mike Patterson,2012,DT,Eagles,0,2,0,0
Mike Peterson,2012,LB,Falcons,0,0,1,1
Mike Pollak,2012,G,Panthers,1,3,0,0
Mike Pouncey,2012,C,Dolphins,0,0,4,0
Mike Rivera,2012,DT,Dolphins,0,0,1,0
Mike Rivera,2012,LB,Patriots,0,0,0,2
Mike Scifres,2012,P,Chargers,0,0,3,0
Mike Tolbert,2012,RB,Panthers,0,0,1,0
Mike Vick,2012,QB,Eagles,0,5,1,0
Mike Wallace,2012,WR,Steelers,0,1,2,0
Mike Williams,2012,WR,Buccaneers,0,0,2,0
Mikel Leshoure,2012,RB,Lions,0,0,3,1
Miles Austin,2012,WR,Cowboys,0,0,6,1
Miles Burris,2012,LB,Raiders,0,0,3,0
Mister Alexander,2012,LB,Texans,0,0,3,0
Mistral Raymond,2012,S,Vikings,0,5,2,1
Mohamed Massaquoi,2012,WR,Browns,1,3,2,2
Mohamed Sanu,2012,WR,Bengals,0,1,0,0
Montario Hardesty,2012,RB,Browns,0,0,3,0
Montell Owens,2012,RB,Jaguars,1,1,2,0
Morgan Cox,2012,LS,Ravens,0,0,1,0
Morris Claiborne,2012,CB,Cowboys,0,0,3,1
Muhammad Wilkerson,2012,DE,Jets,0,0,2,0
Mychal Kendricks,2012,LB,Eagles,0,1,6,0
NaVorro Bowman,2012,LB,Niners,0,0,9,0
Nate Allen,2012,S,Eagles,0,0,5,0
Nate Byham,2012,TE,Buccaneers,0,0,1,0
Nate Clements,2012,CB,Bengals,1,0,2,0
Nate Eachus,2012,RB,Chiefs,0,1,1,0
Nate Ebner,2012,S,Patriots,0,0,0,1
Nate Irving,2012,LB,Broncos,0,0,1,1
Nate Kaeding,2012,K,Chargers,0,1,0,1
Nate Livings,2012,G,Cowboys,0,0,1,1
Nate Menkin,2012,T,Eagles,0,1,1,0
Nate Potter,2012,T,Cardinals,0,0,0,2
Nate Solder,2012,T,Patriots,0,0,0,2
Nate Washington,2012,WR,Titans,0,0,2,1
Ndamukong Suh,2012,DT,Lions,0,0,1,0
Neiko Thorpe,2012,CB,Chiefs,0,0,1,0
Nick Barnett,2012,LB,Bills,0,0,5,1
Nick Bellore,2012,LB,Jets,0,0,6,0
Nick Eason,2012,DT,Cardinals,0,0,1,0
Nick Fairley,2012,DT,Lions,1,0,0,2
Nick Folk,2012,K,Jets,0,0,2,0
Nick Hardwick,2012,C,Chargers,0,0,1,0
Nick Mangold,2012,C,Jets,0,0,10,4
Nick McDonald,2012,C,Patriots,0,0,2,14
Nick McDonald,2012,G,Patriots,0,0,0,2
Nick Perry,2012,LB,Packers,0,3,1,0
Nick Sundberg,2012,LS,Redskins,0,0,1,0
Nnamdi Asomugha,2012,CB,Eagles,0,0,1,0
Nolan Carroll,2012,CB,Dolphins,0,0,5,2
O'Brien Schofield,2012,LB,Cardinals,0,0,7,1
Olivier Vernon,2012,DE,Dolphins,0,0,1,0
Omar Bolden,2012,CB,Broncos,0,0,0,1
Oniel Cousins,2012,T,Browns,1,0,2,1
Orlando Franklin,2012,T,Broncos,0,0,1,0
Orlando Scandrick,2012,CB,Cowboys,0,2,0,0
Owen Daniels,2012,TE,Texans,0,0,11,2
Paris Lenon,2012,LB,Cardinals,0,0,3,2
Pat Angerer,2012,LB,Colts,0,5,3,2
Pat Devlin,2012,QB,Dolphins,0,0,1,0
Pat Sims,2012,DT,Bengals,0,0,1,0
Patrick Bailey,2012,DT,Titans,0,0,1,0
Patrick Bailey,2012,LB,Titans,0,2,0,4
Patrick Chung,2012,S,Patriots,0,1,3,9
Patrick Mannelly,2012,LS,Bears,0,0,0,0
Patrick Peterson,2012,CB,Cardinals,0,0,0,1
Patrick Robinson,2012,CB,Saints,0,0,0,1
Patrick Turner,2012,WR,Jets,0,0,0,1
Patrick Willis,2012,LB,Niners,0,0,11,0
Paul Kruger,2012,LB,Ravens,0,0,1,1
Paul Posluszny,2012,LB,Jaguars,0,0,2,0
Paul Soliai,2012,DT,Dolphins,0,0,3,0
Percy Harvin,2012,WR,Vikings,3,0,2,0
Peria Jerry,2012,DT,Falcons,0,0,1,4
Pernell McPhee,2012,DE,Ravens,1,2,8,4
Perry Riley,2012,LB,Redskins,0,0,0,1
Peyton Hillis,2012,RB,Chiefs,1,2,1,0
Peyton Manning,2012,QB,Broncos,0,0,1,0
Phil Costa,2012,C,Cowboys,0,9,3,0
Phil Loadholt,2012,T,Vikings,0,0,6,0
Philip Blake,2012,C,Broncos,0,0,0,1
Phillip Adams,2012,CB,Raiders,0,1,1,1
Phillip Hunt,2012,DE,Eagles,0,0,0,1
Phillip Tanner,2012,RB,Cowboys,0,0,1,0
Phillip Taylor,2012,DT,Browns,0,0,2,0
Pierre Garcon,2012,WR,Redskins,2,2,7,5
Pierre Thomas,2012,RB,Saints,0,1,1,0
Plaxico Burress,2012,WR,Steelers,0,0,1,0
Preston Parker,2012,WR,Buccaneers,0,0,0,0
Prince Amukamara,2012,CB,Giants,1,2,2,1
Quentin Groves,2012,LB,Cardinals,0,0,2,3
Quentin Jammer,2012,CB,Chargers,0,0,2,0
Quincy Black,2012,LB,Buccaneers,0,0,1,0
Quintin Demps,2012,S,Texans,0,2,5,1
Quinton Carter,2012,S,Broncos,0,1,1,0
Quinton Coples,2012,DE,Jets,0,0,1,0
Ramon Harewood,2012,T,Ravens,0,0,1,0
Ramon Humber,2012,LB,Saints,0,0,1,0
Ramses Barden,2012,WR,Giants,0,1,1,0
Randall Cobb,2012,WR,Packers,0,0,4,1
Randy Moss,2012,WR,Niners,0,0,1,0
Randy Starks,2012,DE,Dolphins,0,0,1,0
Randy Starks,2012,DT,Dolphins,0,0,2,2
Ras-I Dowling,2012,CB,Patriots,0,1,0,0
Rashad Jennings,2012,RB,Jaguars,1,4,1,0
Rashad Johnson,2012,S,Cardinals,0,0,3,4
Rashard Mendenhall,2012,RB,Steelers,4,3,3,0
Rashean Mathis,2012,CB,Jaguars,0,2,5,3
Ray Lewis,2012,LB,Ravens,0,0,5,0
Ray Rice,2012,RB,Ravens,0,0,2,0
Raymond Ventrone,2012,S,Browns,0,4,6,3
Red Bryant,2012,DE,Seahawks,0,0,5,1
Reggie Bush,2012,RB,Dolphins,0,0,2,1
Reggie Nelson,2012,CB,Bengals,1,0,0,0
Reggie Nelson,2012,S,Bengals,1,0,3,0
Reggie Walker,2012,LB,Cardinals,1,0,2,1
Reggie Wayne,2012,WR,Colts,0,0,0,0
Reshad Jones,2012,S,Dolphins,0,0,4,0
Rey Maualuga,2012,LB,Bengals,0,0,1,0
Rhett Ellison,2012,TE,Vikings,0,0,2,0
Rich Ranglin,2012,G,Chiefs,0,0,2,0
Richard Crawford,2012,CB,Redskins,0,0,1,0
Richard Goodman,2012,WR,Chargers,0,0,1,0
Richard Gordon,2012,TE,Raiders,0,2,3,2
Richard Marshall,2012,CB,Dolphins,0,4,1,1
Richard Quinn,2012,TE,Bengals,1,0,1,1
Richard Seymour,2012,DT,Raiders,0,6,6,3
Richard Sherman,2012,CB,Seahawks,0,0,2,0
Ricky Sapp,2012,LB,Jets,0,0,3,2
Riley Cooper,2012,WR,Eagles,0,3,6,1
Rob Callaway,2012,DT,Cowboys,0,0,0,0
Rob Francois,2012,LB,Packers,0,0,1,0
Rob Gronkowski,2012,TE,Patriots,0,3,1,10
Rob Housler,2012,TE,Cardinals,0,0,1,2
Rob Jackson,2012,LB,Redskins,0,0,1,0
Rob Ninkovich,2012,DE,Patriots,0,0,0,0
Rob Sims,2012,G,Lions,0,0,3,0
Robert Ayers,2012,DE,Broncos,0,0,2,1
Robert Blanton,2012,CB,Vikings,0,0,1,0
Robert Blanton,2012,S,Vikings,0,0,3,0
Robert Geathers,2012,DE,Bengals,0,0,3,0
Robert Griffin III,2012,QB,Redskins,0,0,3,2
Robert James,2012,LB,Falcons,0,0,1,0
Robert Malone,2012,P,Jets,0,0,1,0
Robert Mathis,2012,LB,Colts,0,2,7,2
Robert McClain,2012,CB,Falcons,0,0,0,1
Robert Meachem,2012,WR,Chargers,0,0,1,1
Robert Quinn,2012,DE,Rams,0,0,1,1
Robert Turbin,2012,RB,Seahawks,0,0,1,0
Rocky Bernard,2012,DT,Giants,1,3,1,0
Rod Streater,2012,WR,Raiders,0,0,1,1
Roddrick Muckelroy,2012,LB,Bengals,0,0,1,1
Roddy White,2012,WR,Falcons,0,0,3,3
Rodger Saffold,2012,T,Rams,0,6,0,2
Rodney McLeod Jr.,2012,S,Rams,0,0,0,1
Roger Allen,2012,G,Buccaneers,1,0,0,0
Rokevious Watkins,2012,G,Rams,0,1,0,0
Rolando McClain,2012,LB,Raiders,0,1,0,3
Roman Harper,2012,S,Saints,0,0,2,1
Ron Brace,2012,DT,Patriots,0,0,0,8
Ron Brooks,2012,CB,Bills,0,0,2,0
Ron Edwards,2012,DT,Panthers,0,0,2,0
Ronald Bartell,2012,CB,Raiders,0,1,0,0
Ronald Talley,2012,DE,Cardinals,1,0,0,3
Ronnell Lewis,2012,DE,Lions,0,0,1,0
Ronnie Brown,2012,RB,Chargers,1,0,1,1
Ronnie Hillman,2012,RB,Broncos,0,0,1,0
Ropati Pitoitua,2012,DE,Chiefs,0,0,0,2
Roy Miller,2012,DT,Buccaneers,0,0,2,2
Rueben Randle,2012,WR,Giants,0,0,1,0
Russ Hochstein,2012,G,Chiefs,1,0,1,2
Russell Okung,2012,T,Seahawks,0,0,1,1
Ruvell Martin,2012,WR,Bills,0,2,0,1
Ryan Clady,2012,T,Broncos,0,0,3,0
Ryan Clark,2012,S,Steelers,0,1,3,0
Ryan Cook,2012,C,Cowboys,2,0,0,0
Ryan Cook,2012,G,Cowboys,0,0,3,3
Ryan Fitzpatrick,2012,QB,Bills,0,0,0,0
Ryan Kalil,2012,C,Panthers,0,0,1,0
Ryan Kerrigan,2012,LB,Redskins,0,0,4,0
Ryan Lilja,2012,C,Chiefs,0,0,3,2
Ryan Lilja,2012,G,Chiefs,0,0,3,4
Ryan Mathews,2012,RB,Chargers,0,1,0,3
Ryan Miller,2012,T,Browns,0,0,3,0
Ryan Mouton,2012,CB,Titans,0,0,1,2
Ryan Pickett,2012,DT,Packers,0,0,2,0
Ryan Tannehill,2012,QB,Dolphins,0,0,2,1
Ryan Taylor,2012,TE,Packers,0,0,1,0
Ryan Williams,2012,RB,Cardinals,0,0,2,0
Sam Baker,2012,T,Falcons,0,0,3,0
Sam Bradford,2012,QB,Rams,0,0,1,0
Sam Shields,2012,CB,Packers,0,5,1,1
Sammie Lee Hill,2012,DT,Lions,0,1,1,1
Sammie Stroughter,2012,WR,Buccaneers,0,0,0,0
Samson Satele,2012,C,Colts,0,3,3,3
Santana Moss,2012,WR,Redskins,0,0,1,0
Santonio Holmes,2012,WR,Jets,0,0,1,0
Sav Rocca,2012,P,Redskins,0,0,5,1
Scott Chandler,2012,TE,Bills,0,1,5,0
Scott Fujita,2012,LB,Browns,0,2,2,1
Scott Shanle,2012,LB,Saints,0,0,1,1
Scott Solomon,2012,DE,Titans,0,1,0,5
Scott Wells,2012,C,Rams,0,0,4,1
Sealver Siliga,2012,DT,Broncos,0,0,1,0
Sean Considine,2012,S,Ravens,0,0,3,0
Sean Lee,2012,LB,Cowboys,0,0,1,0
Sean Lissemore,2012,DT,Cowboys,0,6,3,0
Sean Locklear,2012,T,Giants,0,0,0,0
Sean Richardson,2012,S,Packers,0,3,2,2
Sean Smith,2012,CB,Dolphins,0,0,1,0
Sean Weatherspoon,2012,LB,Falcons,0,2,1,4
Sebastian Janikowski,2012,K,Raiders,0,0,9,1
Sebastian Vollmer,2012,T,Patriots,0,0,0,16
Sen'Derrick Marks,2012,DT,Titans,1,0,0,2
Seth Olsen,2012,G,Colts,0,1,0,0
Shane Vereen,2012,RB,Patriots,0,1,0,5
Shareece Wright,2012,CB,Chargers,0,4,2,0
Shaun Cody,2012,DT,Texans,0,1,13,2
Shaun Draughn,2012,RB,Chiefs,0,0,1,0
Shaun Phillips,2012,LB,Chargers,0,0,1,0
Shaun Suisham,2012,K,Steelers,0,0,2,0
Shawn Lauvao,2012,G,Browns,0,0,4,0
Shawne Merriman,2012,LB,Bills,0,0,1,1
Shawntae Spencer,2012,CB,Raiders,0,7,0,0
Shayne Graham,2012,K,Texans,0,0,1,0
Shea McClellin,2012,DE,Bears,1,1,2,0
Sheldon Brown,2012,CB,Browns,0,1,2,0
Sherrick McManis,2012,CB,Bears,0,0,0,1
Shiloh Keo,2012,S,Texans,0,0,9,1
Sidney Rice,2012,WR,Seahawks,0,0,6,2
Sione Po'uha,2012,DT,Jets,3,0,4,9
Spencer Johnson,2012,DT,Bills,0,2,2,6
Stanford Routt,2012,CB,Chiefs,0,0,0,1
Stanley Havili,2012,RB,Eagles,0,1,5,0
Stefen Wisniewski,2012,C,Raiders,0,0,1,0
Stefen Wisniewski,2012,G,Raiders,0,0,1,0
Stephen Bowen,2012,DE,Redskins,0,0,2,1
Stephen Burton,2012,WR,Vikings,0,0,1,0
Stephen Hill,2012,WR,Jets,3,0,6,1
Stephen Nicholas,2012,LB,Falcons,0,0,6,1
Stephen Paea,2012,DT,Bears,0,0,3,1
Stephen Tulloch,2012,LB,Lions,0,0,3,0
Stephen Tulloch,2012,TE,Lions,0,0,1,0
Stephon Gilmore,2012,CB,Bills,0,0,1,0
Sterling Moore,2012,CB,Patriots,0,0,0,8
Steve Breaston,2012,WR,Chiefs,0,0,1,1
Steve Gregory,2012,S,Patriots,0,4,0,3
Steve Hutchinson,2012,G,Titans,0,0,0,0
Steve Johnson,2012,WR,Bills,0,0,0,3
Steve Maneri,2012,TE,Chiefs,0,0,2,3
Steve Smith,2012,WR,Panthers,0,0,5,1
Steven Jackson,2012,RB,Rams,0,0,6,3
Stevenson Sylvester,2012,LB,Steelers,0,5,3,1
T.J. Lang,2012,G,Packers,0,0,5,1
T.J. Ward,2012,S,Browns,0,0,6,2
T.J. Yates,2012,QB,Texans,0,0,11,0
T.Y. Hilton,2012,WR,Colts,0,0,1,1
Taiwan Jones,2012,RB,Raiders,0,0,3,6
Takeo Spikes,2012,LB,Chargers,0,0,3,0
Tamba Hali,2012,LB,Chiefs,0,0,1,2
Tandon Doss,2012,WR,Ravens,0,0,3,3
Tank Carder,2012,LB,Browns,0,0,2,0
Tarell Brown,2012,CB,Niners,0,0,9,0
Tashaun Gipson,2012,CB,Browns,0,0,0,1
Tashaun Gipson,2012,S,Browns,0,3,2,1
