Player,Season,Position,Team,TotalInjuryCount
Jim Finn,2006,RB,Giants,1
Jimmy Wilkerson,2006,DE,Chiefs,1
Joe Berger,2006,G,Dolphins,1
Joe Horn,2006,WR,Saints,1
Joe Tafoya,2006,DE,Seahawks,1
John Thornton,2006,DT,Bengals,1
John Welbourn,2006,T,Chiefs,1
Jon Jansen,2006,T,Redskins,1
Jonas Jennings,2006,T,49ers,1
Jonathan Ogden,2006,T,Ravens,1
Jason Webster,2006,CB,Falcons,1
Jamal Lewis,2006,RB,Ravens,1
Itula Mili,2006,TE,Seahawks,1
Donald Driver,2006,WR,Packers,1
David Bowens,2006,DE,Dolphins,1
David Martin,2006,TE,Packers,1
DeAngelo Hall,2006,CB,Falcons,1
Dedrick Roper,2006,LB,Eagles,1
Deltha O'Neal,2006,CB,Bengals,1
Derek M. Smith,2006,LB,49ers,1
Derrick Johnson,2006,LB,Broncos,1
Devale Ellis,2006,WR,Lions,1
Eddie Drummond,2006,WR,Lions,1
Grady Jackson,2006,DT,Falcons,1
Edgerton Hartwell,2006,LB,Falcons,1
Ellis Wyms,2006,DT,Buccaneers,1
Eric Johnson,2006,TE,49ers,1
Fabian Washington,2006,CB,Raiders,1
Floyd Womack,2006,G,Cowboys,1
Floyd Womack,2006,G,Seahawks,1
Gary Brackett,2006,LB,Colts,1
Gerome Sapp,2006,S,Ravens,1
Zack Crockett,2006,RB,Raiders,1
Player,Season,Position,Team,TotalInjuryCount
Charles Woodson,2007,CB,Packers,3
Terry Glenn,2007,WR,Cowboys,3
Will Blackmon,2007,CB,Packers,3
Anthony Henry,2007,CB,Cowboys,2
Bubba Franks,2007,TE,Packers,2
Charlie Johnson,2007,T,Colts,2
Mark Tauscher,2007,T,Packers,2
Tracy White,2007,LB,Packers,2
Ryan Grant,2007,RB,Packers,2
Tim Jennings,2007,CB,Colts,2
Nick Collins,2007,S,Packers,2
Patrick Crayton,2007,WR,Cowboys,2
Koren Robinson,2007,WR,Packers,2
Johnny Jolly,2007,DT,Packers,2
Niko Koutouvides,2007,LB,Seahawks,1
Pat Watkins,2007,CB,Cowboys,1
Michael Green,2007,S,Seahawks,1
Mike Peterson,2007,LB,Jaguars,1
Mike Peterson,2007,LB,Seahawks,1
Nick Ferguson,2007,S,Broncos,1
Nick Kaczur,2007,T,Patriots,1
Mike Sellers,2007,RB,Redskins,1
Nate Washington,2007,WR,Steelers,1
Nathan Vasher,2007,CB,Bears,1
Matt Schaub,2007,QB,Texans,1
Niko Koutouvides,2007,LB,Redskins,1
Mike Rucker,2007,DE,Panthers,1
Aaron Glenn,2007,CB,Seahawks,1
Matt Giordano,2007,CB,Colts,1
Plaxico Burress,2007,WR,Patriots,1
Kindal Moorehead,2007,DT,Panthers,1
Kris Brown,2007,K,Texans,1
Kyle Brady,2007,TE,Patriots,1
Kyle Eckel,2007,RB,Patriots,1
LaBrandon Toefield,2007,RB,Seahawks,1
Larry Allen,2007,G,Niners,1
Laveranues Coles,2007,WR,Jets,1
Leonard Davis,2007,G,Cowboys,1
Manuel Wright,2007,DT,Patriots,1
Marc Colombo,2007,T,Cowboys,1
Marcus Hudson,2007,CB,Niners,1
Mark Campbell,2007,TE,Saints,1
Marvel Smith,2007,T,Jaguars,1
Marvel Smith,2007,T,Steelers,1
Marvin Harrison,2007,WR,Colts,1
Patrick Kerney,2007,DE,Seahawks,1
Rodney Harrison,2007,S,Patriots,1
Randy Thomas,2007,G,Redskins,1
Tom Brady,2007,QB,Patriots,1
Tony Scheffler,2007,TE,Broncos,1
Tony Ugoh,2007,T,Colts,1
Torry Holt,2007,WR,Rams,1
Travis Kirschke,2007,DE,Steelers,1
Travis Minor,2007,RB,Rams,1
Trent Dilfer,2007,QB,Niners,1
Troy Polamalu,2007,S,Jaguars,1
Tyjuan Hagler,2007,LB,Colts,1
Walt Harris,2007,CB,Niners,1
Walter Jones,2007,T,Seahawks,1
Warrick Dunn,2007,RB,Falcons,1
Wes Welker,2007,WR,Patriots,1
Will Witherspoon,2007,LB,Rams,1
Willie Anderson,2007,T,Bengals,1
Willie Andrews,2007,S,Patriots,1
Tony Romo,2007,QB,Cowboys,1
Todd Weiner,2007,T,Falcons,1
Rashad Jeanty,2007,LB,Bengals,1
Teddy Lehman,2007,LB,Lions,1
Reggie Nelson,2007,S,Seahawks,1
Rocky Bernard,2007,DT,Seahawks,1
Keary Colbert,2007,WR,Panthers,1
Ron Dayne,2007,RB,Texans,1
Ruvell Martin,2007,WR,Packers,1
Ryan Diem,2007,T,Colts,1
Ryan Lilja,2007,G,Colts,1
Shaun Alexander,2007,RB,Redskins,1
Shaun Alexander,2007,RB,Seahawks,1
Shawn Springs,2007,CB,Redskins,1
Shawntae Spencer,2007,CB,Niners,1
Sinorice Moss,2007,WR,Patriots,1
Stephen Neal,2007,G,Patriots,1
Stephen Spach,2007,TE,Patriots,1
Steve Smith,2007,WR,Panthers,1
Kevin Dockery,2007,CB,Patriots,1
Justin Hartwig,2007,C,Panthers,1
Kasey Studdard,2007,G,Texans,1
Chris Harris,2007,S,Panthers,1
Bryant Young,2007,DT,Niners,1
Byron Leftwich,2007,QB,Falcons,1
C.J. Mosley,2007,DE,Jets,1
Chad Clifton,2007,T,Packers,1
Chris Baker,2007,TE,Jets,1
Chris Canty,2007,DE,Cowboys,1
Chris Davis,2007,WR,Jets,1
Chris Myers,2007,C,Broncos,1
Brian Urlacher,2007,LB,Bears,1
Clark Haggans,2007,LB,Steelers,1
Clint Kriewaldt,2007,LB,Steelers,1
Clinton Portis,2007,RB,Redskins,1
D.J. Hackett,2007,WR,Seahawks,1
Daniel Federkeil,2007,T,Colts,1
Danny Clark,2007,LB,Texans,1
Darrelle Revis,2007,CB,Jets,1
Bryant McFadden,2007,CB,Jaguars,1
Brian Leonard,2007,RB,Rams,1
Deion Branch,2007,WR,Redskins,1
Anthony Clement,2007,T,Jets,1
Ahmad Bradshaw,2007,RB,Patriots,1
Alge Crumpler,2007,TE,Falcons,1
Allen Rossum,2007,CB,Jaguars,1
Andre Frazier,2007,LB,Steelers,1
Andre Gurode,2007,C,Cowboys,1
Andre Hall,2007,RB,Broncos,1
Anthony Adams,2007,DT,Bears,1
Anthony Fasano,2007,TE,Cowboys,1
Brandon Williams,2007,WR,Rams,1
Antwaan Randle El,2007,WR,Redskins,1
Antwain Spann,2007,CB,Patriots,1
Arnaz Battle,2007,WR,Niners,1
Bob Sanders,2007,S,Colts,1
Brad Smith,2007,WR,Jets,1
Brandon Jacobs,2007,RB,Patriots,1
Brandon Stokley,2007,WR,Broncos,1
DeMeco Ryans,2007,LB,Texans,1
Deion Branch,2007,WR,Seahawks,1
Kabeer Gbaja-Biamila,2007,DE,Packers,1
Jeff Ulbrich,2007,LB,Niners,1
Isaac Sopoaga,2007,DT,Niners,1
Isaiah Stanback,2007,WR,Cowboys,1
James Hall,2007,DE,Rams,1
James Jones,2007,WR,Packers,1
James Thrash,2007,WR,Redskins,1
Jason Spitz,2007,G,Packers,1
Javon Walker,2007,WR,Broncos,1
Joe Horn,2007,WR,Falcons,1
Ike Taylor,2007,CB,Steelers,1
Joe Kowalewski,2007,TE,Jets,1
John Engelberger,2007,DE,Broncos,1
John Henderson,2007,DT,Jaguars,1
Jonathan Scott,2007,T,Lions,1
Josh Thomas,2007,DE,Colts,1
Julius Peppers,2007,DE,Panthers,1
Aaron Rouse,2007,S,Packers,1
Isaac Snell,2007,G,Broncos,1
Ikaika Alama-Francis,2007,DE,Lions,1
Derek M. Smith,2007,LB,Niners,1
Frank Gore,2007,RB,Niners,1
Deshea Townsend,2007,CB,Jaguars,1
Dewayne Robertson,2007,DT,Jets,1
Dewayne White,2007,DE,Lions,1
Dwayne Blakley,2007,TE,Falcons,1
Dylan Gandy,2007,C,Colts,1
Eric Bassey,2007,CB,Rams,1
Eric Smith,2007,S,Jets,1
Fred Miller,2007,T,Bears,1
