Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Geoff Hangartner,2012,G,Panthers,1,0
Geoff Hangartner,2012,C,Panthers,8,0
Geno Hayes,2012,LB,Bears,2,0
Garry Williams,2012,T,Panthers,1,0
Garrett Reynolds,2012,G,Falcons,3,0
Garrett McIntyre,2012,LB,Jets,2,0
Gabe Carimi,2012,T,Bears,1,0
Everson Griffen,2012,DE,Vikings,3,0
Frostee Rucker,2012,DE,Browns,13,0
Fred Evans,2012,DT,Vikings,2,0
Fred Davis,2012,TE,Redskins,1,0
Frank Gore,2012,RB,Niners,11,0
Frank Alexander,2012,DE,Panthers,3,0
Fili Moala,2012,DT,Colts,4,0
Felix Jones,2012,RB,Cowboys,10,0
Eddie Royal,2012,WR,Chargers,10,0
Eddie Pleasant,2012,S,Texans,1,0
Ed Reed,2012,S,Ravens,14,0
Donnie Jones,2012,P,Texans,1,0
Doug Worthington,2012,DE,Redskins,3,0
Doug Baldwin,2012,WR,Seahawks,5,0
Dorin Dickerson,2012,RB,Bills,2,0
Donte Whitner,2012,S,Niners,2,0
Dontay Moch,2012,LB,Bengals,3,0
Dontari Poe,2012,DT,Chiefs,1,0
Dont'a Hightower,2012,LB,Patriots,13,0
Donnie Avery,2012,WR,Colts,4,0
Ed Dickson,2012,TE,Ravens,6,0
Donald Stephenson,2012,T,Chiefs,1,0
Donald Penn,2012,T,Buccaneers,2,0
Donald Lee,2012,TE,Bengals,4,0
Donald Jones,2012,WR,Bills,5,0
Donald Driver,2012,WR,Packers,7,0
Donald Butler,2012,LB,Chargers,5,0
Donald Brown,2012,RB,Colts,9,0
Dre Kirkpatrick,2012,CB,Bengals,11,0
Drew Brees,2012,QB,Saints,1,0
Drew Butler,2012,P,Steelers,1,0
Drew Davis,2012,WR,Falcons,2,0
Eben Britton,2012,T,Jaguars,1,0
Eben Britton,2012,G,Jaguars,2,0
Earl Thomas,2012,S,Seahawks,1,0
Earl Mitchell,2012,DT,Texans,3,0
E.J. Biggers,2012,CB,Buccaneers,5,0
Dwight Lowery,2012,S,Jaguars,7,0
Dwight Lowery,2012,CB,Jaguars,1,0
Dwight Freeney,2012,LB,Colts,14,0
Dwight Freeney,2012,DE,Colts,1,0
Dwayne Harris,2012,WR,Cowboys,1,0
Dwayne Bowe,2012,WR,Chiefs,4,0
Dwan Edwards,2012,DT,Panthers,9,0
Dustin Keller,2012,TE,Jets,12,0
Dunta Robinson,2012,CB,Falcons,3,0
Duane Brown,2012,T,Texans,1,0
Ziggy Hood,2012,DE,Steelers,2,0
Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Stephen Burton,2013,WR,Jaguars,11,9
Wes Welker,2013,WR,Broncos,14,5
Jordan Reed,2013,TE,Redskins,8,5
Brandon Ghee,2013,CB,Bengals,6,4
Jeremy Mincey,2013,DE,Jaguars,5,4
Will Rackley,2013,G,Jaguars,9,3
Anthony Fasano,2013,TE,Chiefs,12,3
King Dunlap,2013,T,Chargers,8,3
Kenny Vaccaro,2013,S,Saints,4,3
Reed Doughty,2013,S,Redskins,3,3
Nate Solder,2013,T,Patriots,4,3
Theo Riddick,2013,RB,Lions,3,3
Steve Vallos,2013,C,Broncos,2,2
Eric Reid,2013,S,Niners,3,2
Matt Conrath,2013,DT,Rams,2,2
Mason Foster,2013,LB,Buccaneers,5,2
D.J. Fluker,2013,T,Chargers,10,2
Dwayne Bowe,2013,WR,Chiefs,4,2
Craig Stevens,2013,TE,Titans,3,2
Dwight Lowery,2013,S,Jaguars,2,2
Rashad Jennings,2013,RB,Raiders,3,2
Red Bryant,2013,DE,Seahawks,4,2
Benjamin Watson,2013,TE,Saints,2,2
Eddie Lacy,2013,RB,Packers,6,2
Eric Fisher,2013,T,Chiefs,10,2
Vance Walker,2013,DT,Raiders,2,2
Brandon Bostick,2013,TE,Packers,3,2
Jarvis Jones,2013,LB,Steelers,4,2
Jason Campbell,2013,QB,Browns,3,2
Ryan Griffin,2013,TE,Texans,3,2
Jeremy Kerley,2013,WR,Jets,12,2
Terrelle Pryor,2013,QB,Raiders,5,2
Jeff Cumberland,2013,TE,Jets,4,2
Bradley Fletcher,2013,CB,Eagles,6,2
J.R. Sweezy,2013,G,Seahawks,5,2
Brandon Weeden,2013,QB,Browns,5,2
Stanley Havili,2013,RB,Colts,6,2
James Harrison,2013,LB,Bengals,6,2
Tony Scheffler,2013,TE,Lions,2,2
Carlos Dunlap,2013,DE,Bengals,4,2
Delanie Walker,2013,TE,Titans,3,2
Da'Quan Bowers,2013,DE,Buccaneers,8,2
Jordan Cameron,2013,TE,Browns,3,2
Devin McCourty,2013,S,Patriots,4,2
Nick Foles,2013,QB,Eagles,3,2
Ace Sanders,2013,WR,Jaguars,4,2
Michael Johnson,2013,DE,Bengals,2,2
John Carlson,2013,TE,Vikings,2,2
Willis McGahee,2013,RB,Browns,10,2
Joe Reitz,2013,G,Colts,2,2
Danny Amendola,2013,WR,Patriots,17,2
Max Unger,2013,C,Seahawks,6,2
Paul Posluszny,2013,LB,Jaguars,4,2
Thomas DeCoud,2013,S,Falcons,3,2
Peyton Hillis,2013,RB,Giants,2,2
Phil Loadholt,2013,T,Vikings,5,2
Coty Sensabaugh,2013,CB,Titans,2,1
Ike Taylor,2013,CB,Steelers,1,1
Darryl Sharpton,2013,LB,Redskins,1,1
Brian Cushing,2013,LB,Texans,6,1
Sio Moore,2013,LB,Raiders,4,1
Jacquizz Rodgers,2013,RB,Falcons,2,1
Dan Connolly,2013,G,Patriots,2,1
Darryl Sharpton,2013,LB,Texans,15,1
Stephen Hill,2013,WR,Jets,10,1
Brandon Meriweather,2013,S,Redskins,5,1
David Amerson,2013,CB,Redskins,2,1
Jake Long,2013,T,Rams,3,1
Stephen Williams,2013,WR,Seahawks,1,1
Kendall Wright,2013,WR,Titans,3,1
Nick Kasa,2013,TE,Raiders,1,1
Kenbrell Thompkins,2013,WR,Patriots,7,1
Nick Hardwick,2013,C,Chargers,9,1
Brandon Boykin,2013,CB,Eagles,7,1
Duke Ihenacho,2013,S,Broncos,8,1
Prince Amukamara,2013,CB,Giants,1,1
T.J. Lang,2013,G,Packers,2,1
Mike Jenkins,2013,CB,Raiders,2,1
Keith Tandy,2013,S,Buccaneers,3,1
David Reed,2013,WR,Raiders,1,1
Mychal Rivera,2013,TE,Raiders,1,1
DeAndre Hopkins,2013,WR,Redskins,1,1
Deonte Thompson,2013,WR,Ravens,5,1
Nolan Carroll,2013,CB,Dolphins,4,1
Darren Sproles,2013,RB,Saints,3,1
Raymond Ventrone,2013,S,Niners,1,1
Kyle Wilson,2013,CB,Jets,1,1
Ramon Foster,2013,G,Steelers,5,1
Percy Harvin,2013,WR,Seahawks,8,1
Melvin White,2013,CB,Panthers,1,1
Rey Maualuga,2013,LB,Bengals,5,1
Eddie Royal,2013,WR,Texans,1,1
Craig Steltz,2013,S,Bears,1,1
Christian Ponder,2013,QB,Vikings,6,1
Chris Williams,2013,G,Rams,3,1
Dre Kirkpatrick,2013,CB,Bengals,6,1
Pat Angerer,2013,LB,Raiders,1,1
Chris Prosinski,2013,S,Jaguars,1,1
Chris Ogbonnaya,2013,RB,Browns,5,1
Chris Harris,2013,CB,Broncos,1,1
Ezekiel Ansah,2013,DE,Vikings,1,1
Daren Bates,2013,LB,Rams,2,1
Pat Angerer,2013,LB,Colts,3,1
Darrell Stuckey,2013,S,Chargers,1,1
Omar Bolden,2013,S,Broncos,3,1
Le'Veon Bell,2013,RB,Steelers,4,1
Ryan Mathews,2013,RB,Chargers,9,1
George Iloka,2013,S,Bengals,1,1
Dwight Bentley,2013,CB,Lions,4,1
Phillip Taylor,2013,DT,Browns,1,1
Ryan Wendell,2013,C,Patriots,1,1
Larry Fitzgerald,2013,WR,Cardinals,7,1
Lamar Miller,2013,RB,Dolphins,2,1
LaRon Landry,2013,S,Colts,8,1
George Selvie,2013,DE,Cowboys,9,1
Johnathan Franklin,2013,RB,Packers,2,1
Andrew Whitworth,2013,T,Bengals,7,1
Josh McNary,2013,LB,Colts,1,1
Justin Bethel,2013,CB,Cardinals,2,1
John Jerry,2013,G,Dolphins,2,1
Jason Pinkston,2013,G,Browns,3,1
Jason Snelling,2013,RB,Falcons,4,1
Andre Johnson,2013,WR,Texans,7,1
Andre Fluellen,2013,DT,Lions,2,1
Tracy Porter,2013,CB,Raiders,5,1
Zac Stacy,2013,RB,Rams,5,1
Xavier Rhodes,2013,CB,Vikings,6,1
Vontaze Burfict,2013,LB,Bengals,7,1
Andre Brown,2013,RB,Giants,1,1
Johnny Patrick,2013,CB,Texans,1,1
Antonio Allen,2013,S,Jets,6,1
Trumaine Johnson,2013,CB,Rams,2,1
Antonio Cromartie,2013,CB,Jets,15,1
Jerrell Freeman,2013,LB,Colts,2,1
Arthur Jones,2013,DT,Ravens,3,1
Joe Webb,2013,WR,Vikings,2,1
Wallace Gilberry,2013,DE,Bengals,5,1
Jimmy Smith,2013,CB,Ravens,3,1
Alex Smith,2013,TE,Bengals,2,1
Jeff Maehl,2013,WR,Eagles,1,1
Vince Williams,2013,LB,Steelers,1,1
Josh Thomas,2013,CB,Panthers,2,1
Victor Cruz,2013,WR,Giants,3,1
Vernon Davis,2013,TE,Niners,7,1
Josh Freeman,2013,QB,Vikings,1,1
Jermaine Kearse,2013,WR,Seahawks,3,1
Johnny Patrick,2013,CB,Chargers,5,1
Justin Hunter,2013,WR,Titans,2,1
John Sullivan,2013,C,Vikings,4,1
Justin Houston,2013,LB,Chiefs,7,1
Jermichael Finley,2013,TE,Packers,5,1
Jordan Todman,2013,RB,Jaguars,3,0
Mario Harvey,2013,LB,Raiders,1,0
Marvin Jones,2013,WR,Bengals,3,0
Matt Asiata,2013,RB,Vikings,10,0
Marcus Thigpen,2013,RB,Dolphins,1,0
Marcus Spears,2013,DE,Ravens,3,0
Marvin McNutt,2013,WR,Panthers,1,0
Marcus Sherels,2013,CB,Vikings,2,0
Marcus Gilbert,2013,T,Steelers,7,0
Marcus Easley,2013,WR,Bills,2,0
Jordan Poyer,2013,CB,Browns,1,0
Matt Bryant,2013,K,Lions,1,0
Jordan Senn,2013,LB,Panthers,2,0
Mario Manningham,2013,WR,Niners,7,0
Matt Flynn,2013,QB,Saints,1,0
Matt Forte,2013,RB,Bears,1,0
Jordan Mills,2013,T,Bears,2,0
Matt Giordano,2013,S,Rams,1,0
Matt Kalil,2013,T,Vikings,2,0
Jordan Miller,2013,DT,Jaguars,1,0
Matt McCants,2013,T,Raiders,3,0
Jordan Hill,2013,DT,Seahawks,9,0
Matt Prater,2013,K,Broncos,2,0
Marvin Austin,2013,DT,Cowboys,1,0
Markus Wheaton,2013,WR,Steelers,6,0
Martin Wallace,2013,T,Browns,1,0
Martez Wilson,2013,LB,Saints,4,0
Marlon Brown,2013,WR,Ravens,6,0
Josh Cooper,2013,WR,Browns,2,0
Josh Chapman,2013,DT,Colts,2,0
Mark Sanchez,2013,QB,Jets,1,0
Marlon Moore,2013,WR,Dolphins,2,0
Mark Sanchez,2013,QB,Buccaneers,1,0
Mark Ingram,2013,RB,Saints,5,0
Marlon Moore,2013,WR,Niners,1,0
Marques Colston,2013,WR,Falcons,1,0
Marques Colston,2013,WR,Saints,6,0
Marquice Cole,2013,CB,Patriots,7,0
Marquise Goodwin,2013,WR,Bills,9,0
Josh Cribbs,2013,WR,Jets,3,0
Marshall Newhouse,2013,T,Packers,1,0
Jordan Gross,2013,T,Panthers,5,0
Martellus Bennett,2013,TE,Bears,5,0
Josh Bynes,2013,LB,Ravens,2,0
Josh Boyce,2013,WR,Patriots,2,0
Mark Herzlich,2013,LB,Giants,2,0
Josh Evans,2013,S,Jaguars,4,0
Martez Wilson,2013,DE,Falcons,1,0
Josh Aubrey,2013,S,Browns,1,0
Jose Gumbs,2013,S,Redskins,5,0
Mark Barron,2013,S,Buccaneers,7,0
Mario Williams,2013,DE,Bills,4,0
Marshawn Lynch,2013,RB,Seahawks,13,0
Ka'Lial Glaud,2013,LB,Buccaneers,1,0
Matt Schaub,2013,QB,Texans,4,0
Jon Beason,2013,LB,Panthers,3,0
Mike McGlynn,2013,G,Colts,3,0
Mike Martin,2013,DT,Titans,1,0
Mike Leach,2013,LS,Jets,1,0
Mike James,2013,RB,Steelers,1,0
Mike Iupati,2013,G,Niners,14,0
Johnthan Banks,2013,CB,Buccaneers,2,0
Mike Harris,2013,CB,Jaguars,3,0
Mike Goodson,2013,RB,Jets,2,0
Mike Gibson,2013,C,Cardinals,1,0
Mike DeVito,2013,DE,Chiefs,5,0
Joique Bell,2013,RB,Lions,3,0
Jon Asamoah,2013,G,Chiefs,7,0
Mike Catapano,2013,DE,Chiefs,4,0
Jon Baldwin,2013,WR,Niners,5,0
Mike Brown,2013,WR,Jaguars,10,0
Mike McGlynn,2013,G,Raiders,1,0
Mike McNeill,2013,TE,Rams,2,0
Mike Mitchell,2013,S,Panthers,2,0
Mike Remmers,2013,T,Chargers,3,0
Mike Windt,2013,LS,Chargers,1,0
Mike Williams,2013,WR,Buccaneers,4,0
Mike Wallace,2013,WR,Dolphins,3,0
Mike Vick,2013,QB,Eagles,6,0
Mike Tolbert,2013,RB,Panthers,5,0
Mike Scifres,2013,P,Chargers,1,0
Mike Pouncey,2013,C,Dolphins,6,0
Mike Mohamed,2013,LB,Texans,5,0
Mike Pollak,2013,G,Bengals,6,0
Mike Person,2013,T,Rams,1,0
Mike Neal,2013,DE,Packers,10,0
Johnny Jolly,2013,DE,Packers,4,0
Mike Morgan,2013,LB,Seahawks,1,0
Johnny Jolly,2013,DT,Packers,1,0
Mike Brisiel,2013,G,Raiders,4,0
Mike Adams,2013,T,Steelers,3,0
Jordan Cameron,2013,TE,Dolphins,1,0
Mike Adams,2013,S,Broncos,3,0
Jonathan Martin,2013,T,Dolphins,5,0
Michael Bennett,2013,DE,Seahawks,4,0
Michael Adams,2013,CB,Buccaneers,7,0
Micah Hyde,2013,CB,Packers,1,0
Menelik Watson,2013,T,Saints,1,0
Menelik Watson,2013,T,Raiders,10,0
Jonathan Meeks,2013,S,Bills,1,0
Jonathan Stewart,2013,LB,Cardinals,1,0
McLeod Bethel-Thompson,2013,QB,Bears,1,0
Jonathan Stewart,2013,RB,Panthers,6,0
Marcus Cooper,2013,CB,Chiefs,2,0
Matthew Slater,2013,WR,Patriots,13,0
Jonte Green,2013,CB,Lions,2,0
Matt Simms,2013,QB,Buccaneers,1,0
Matt Shaughnessy,2013,LB,Cardinals,4,0
Jonathan Goodwin,2013,C,Niners,7,0
Michael Boley,2013,LB,Bengals,5,0
Michael Bowie,2013,T,Seahawks,2,0
Jonathan Babineaux,2013,DT,Falcons,4,0
Michael Wilhoite,2013,LB,Niners,1,0
Michael Oher,2013,T,Ravens,2,0
Michael Mauti,2013,LB,Vikings,1,0
Jon Dorenbos,2013,LS,Eagles,1,0
Jon Weeks,2013,LS,Texans,1,0
Michael Huff,2013,S,Ravens,1,0
Michael Hoomanawanui,2013,TE,Patriots,9,0
Michael Buchanan,2013,DE,Patriots,1,0
Michael Griffin,2013,S,Titans,3,0
Jonathan Freeny,2013,LB,Bills,1,0
Jonathan Freeny,2013,LB,Dolphins,3,0
Michael Floyd,2013,WR,Cardinals,6,0
Michael Egnew,2013,TE,Dolphins,2,0
Michael Crabtree,2013,WR,Niners,6,0
Maurice Jones-Drew,2013,RB,Jaguars,12,0
MarQueis Gray,2013,TE,Browns,5,0
Marcus Cannon,2013,T,Patriots,8,0
Juron Criner,2013,WR,Raiders,3,0
Julian Edelman,2013,WR,Patriots,3,0
Julian Vandervelde,2013,G,Eagles,3,0
Kevin Reddick,2013,LB,Falcons,1,0
Kevin Minter,2013,LB,Cardinals,5,0
Kevin Huber,2013,P,Bengals,2,0
Julio Jones,2013,WR,Falcons,4,0
Kevin Burnett,2013,LB,Raiders,2,0
Kevin Brock,2013,TE,Chiefs,1,0
Julius Peppers,2013,DE,Bears,3,0
Keshawn Martin,2013,WR,Texans,5,0
Kerry Taylor,2013,WR,Jaguars,1,0
Julius Thomas,2013,TE,Broncos,7,0
Kenrick Ellis,2013,DT,Jets,15,0
Kenrick Ellis,2013,DT,Buccaneers,1,0
Junior Galette,2013,DE,Falcons,1,0
Kevin Reddick,2013,LB,Saints,1,0
Josh Wilson,2013,CB,Redskins,1,0
Kevin Williams,2013,DT,Bears,1,0
Josh Victorian,2013,CB,Texans,2,0
Josh Vaughan,2013,RB,Falcons,1,0
Kory Lichtensteiger,2013,G,Redskins,1,0
Konrad Reuland,2013,TE,Jets,2,0
Koa Misi,2013,LB,Dolphins,10,0
Knowshon Moreno,2013,RB,Broncos,4,0
Kirk Cousins,2013,QB,Eagles,1,0
Kiko Alonso,2013,LB,Bills,1,0
Kevin Williams,2013,DT,Vikings,8,0
Josh Victorian,2013,S,Texans,1,0
Khalif Barnes,2013,T,Raiders,1,0
Khaled Holmes,2013,C,Colts,1,0
Keyunta Dawson,2013,LB,Saints,5,0
Keyunta Dawson,2013,DE,Saints,1,0
Kevin Zeitler,2013,G,Bengals,6,0
Junior Galette,2013,LB,Saints,3,0
Kenny Stills,2013,WR,Saints,1,0
Marcus Benard,2013,LB,Cardinals,1,0
Kenny Demens,2013,LB,Cardinals,2,0
Kedric Golston,2013,DE,Redskins,1,0
Kayvon Webster,2013,CB,Broncos,7,0
Kawann Short,2013,DT,Panthers,1,0
Kavell Conner,2013,LB,Raiders,1,0
Kavell Conner,2013,LB,Colts,5,0
Kassim Osgood,2013,WR,Niners,1,0
Karlos Dansby,2013,LB,Cardinals,4,0
Karl Klug,2013,DE,Titans,1,0
Kareem Jackson,2013,CB,Texans,6,0
Kamerion Wimbley,2013,DE,Titans,1,0
Justin Trattou,2013,DE,Giants,1,0
Kam Chancellor,2013,S,Seahawks,5,0
Kaluka Maiava,2013,LB,Raiders,8,0
Kai Forbath,2013,K,Redskins,4,0
Justin Tuggle,2013,LB,Texans,2,0
Keenan Allen,2013,WR,Chargers,3,0
Keenan Lewis,2013,CB,Saints,5,0
Justin Smith,2013,DT,Niners,17,0
Kelvin Beachum,2013,T,Steelers,7,0
Kenny Britt,2013,WR,Titans,2,0
Kenjon Barner,2013,RB,Panthers,5,0
Kendrick Lewis,2013,S,Chiefs,7,0
Kendall Reyes,2013,DE,Chargers,2,0
Jurrell Casey,2013,DT,Titans,3,0
Kelvin Sheppard,2013,LB,Colts,1,0
Kellen Winslow,2013,TE,Jets,12,0
Kelechi Osemele,2013,G,Ravens,3,0
Justin Blackmon,2013,WR,Jaguars,2,0
Justin Durant,2013,LB,Cowboys,6,0
Justin Forsett,2013,RB,Jaguars,3,0
Kellen Winslow,2013,TE,Buccaneers,1,0
Kellen Davis,2013,TE,Seahawks,1,0
Kellen Clemens,2013,QB,Rams,1,0
Kraig Urbik,2013,G,Bills,4,0
Kurt Coleman,2013,S,Eagles,2,0
Kyle Arrington,2013,CB,Patriots,15,0
Kyle Cook,2013,C,Bengals,3,0
Luke Willson,2013,TE,Seahawks,2,0
Luke Stocker,2013,TE,Buccaneers,1,0
Lucas Nix,2013,G,Raiders,4,0
Louis Murphy,2013,WR,Giants,2,0
Louis Delmas,2013,S,Vikings,1,0
Louis Delmas,2013,S,Lions,15,0
Lorenzo Alexander,2013,LB,Cardinals,2,0
London Fletcher,2013,LB,Redskins,2,0
Logan Paulsen,2013,TE,Redskins,6,0
Logan Mankins,2013,G,Patriots,2,0
Linval Joseph,2013,DT,Giants,2,0
Letroy Guion,2013,DT,Vikings,4,0
Letroy Guion,2013,DT,Bears,1,0
Leonard Hankerson,2013,WR,Redskins,6,0
Leon Washington,2013,RB,Titans,1,0
Major Wright,2013,S,Bears,4,0
Josh Hill,2013,TE,Saints,4,0
Malcolm Jenkins,2013,S,Saints,5,0
Manti Te'o,2013,LB,Chargers,7,0
Marcell Dareus,2013,DT,Bills,2,0
Marcel Reece,2013,RB,Raiders,2,0
Marcedes Lewis,2013,TE,Jaguars,9,0
K.J. Wright,2013,LB,Seahawks,6,0
Josh Gordon,2013,WR,Browns,2,0
Manti Te'o,2013,LB,Texans,1,0
Manny Ramirez,2013,C,Broncos,4,0
Josh Gordy,2013,CB,Colts,6,0
Manny Lawson,2013,LB,Bills,4,0
Malliciah Goodman,2013,DE,Falcons,3,0
Malik Jackson,2013,DE,Broncos,2,0
Malcom Floyd,2013,WR,Texans,1,0
Malcom Floyd,2013,WR,Chargers,2,0
Malcolm Smith,2013,LB,Seahawks,3,0
Leon Washington,2013,RB,Patriots,10,0
Leon Hall,2013,CB,Bengals,5,0
Leodis McKelvin,2013,CB,Bills,2,0
LaMichael James,2013,RB,Packers,1,0
Lance Kendricks,2013,TE,Rams,1,0
Lance Dunbar,2013,RB,Giants,1,0
Miles Austin,2013,WR,Cowboys,9,0
Lance Briggs,2013,LB,Bears,10,0
Josh Sitton,2013,G,Packers,2,0
LaVon Brazill,2013,WR,Colts,2,0
LaMichael James,2013,RB,Niners,2,0
Lane Johnson,2013,T,Eagles,1,0
LaMarr Woodley,2013,LB,Steelers,6,0
LaAdrian Waddle,2013,T,Lions,2,0
Kyle Williams,2013,WR,Niners,5,0
Kyle Williams,2013,DT,Bills,13,0
Kyle Rudolph,2013,TE,Vikings,5,0
Kyle Long,2013,G,Bears,2,0
Lance Moore,2013,WR,Saints,4,0
Lardarius Webb,2013,CB,Ravens,6,0
Leger Douzable,2013,DT,Buccaneers,1,0
Lawrence Guy,2013,DE,Chargers,7,0
Josh Kaddu,2013,LB,Dolphins,1,0
Leger Douzable,2013,DE,Jets,1,0
Le'Veon Bell,2013,RB,Titans,1,0
Josh Norman,2013,CB,Panthers,1,0
Le'Ron McClain,2013,RB,Chargers,2,0
Lawrence Timmons,2013,LB,Steelers,2,0
Josh Robinson,2013,CB,Vikings,6,0
Larry Dean,2013,LB,Bears,1,0
Lavonte David,2013,LB,Buccaneers,3,0
Lavelle Hawkins,2013,WR,Chargers,1,0
Lavar Edwards,2013,DE,Titans,1,0
Larry Warford,2013,G,Lions,1,0
Josh Scobee,2013,K,Jaguars,1,0
Larry Dean,2013,LB,Vikings,5,0
Lance Dunbar,2013,RB,Cowboys,5,0
A.J. Bouye,2013,CB,Redskins,1,0
Miles Burris,2013,LB,Raiders,2,0
Steven Jackson,2013,RB,Falcons,6,0
Tamba Hali,2013,LB,Chiefs,4,0
T.Y. Hilton,2013,WR,Colts,5,0
T.J. Yates,2013,QB,Texans,3,0
T.J. Ward,2013,S,Browns,5,0
T.J. McDonald,2013,S,Rams,3,0
Sylvester Williams,2013,T,Broncos,1,0
Stevenson Sylvester,2013,LB,Steelers,2,0
Steven Means,2013,DE,Buccaneers,1,0
Steve Smith,2013,WR,Panthers,5,0
Sean Lissemore,2013,DE,Chargers,3,0
Steve McLendon,2013,DT,Steelers,8,0
Steve Johnson,2013,WR,Bills,9,0
Steve Gregory,2013,S,Patriots,8,0
Steve Beauharnais,2013,LB,Patriots,1,0
Stevan Ridley,2013,RB,Patriots,3,0
Stephon Gilmore,2013,CB,Patriots,1,0
Stephon Gilmore,2013,CB,Bills,5,0
Stephen Williams,2013,WR,Jaguars,4,0
Tank Carder,2013,LB,Browns,6,0
Tarell Brown,2013,CB,Niners,9,0
Tarvaris Jackson,2013,QB,Seahawks,1,0
Tavares Gooden,2013,LB,Texans,1,0
Tim Lelito,2013,G,Saints,4,0
Tim Jamison,2013,DE,Texans,1,0
Tim Dobbins,2013,LB,Texans,4,0
Thomas Keiser,2013,LB,Chargers,1,0
Thomas Davis,2013,LB,Panthers,2,0
Thad Lewis,2013,QB,Bills,4,0
Terron Armstead,2013,T,Saints,3,0
Terron Armstead,2013,T,Falcons,1,0
Terrence Cody,2013,DT,Ravens,5,0
Terrell Thomas,2013,CB,Giants,13,0
Terrell Suggs,2013,LB,Ravens,2,0
Terrance Williams,2013,WR,Cowboys,1,0
Terence Newman,2013,CB,Bengals,8,0
Terence Garvin,2013,LB,Steelers,1,0
Taylor Mays,2013,S,Bengals,1,0
Tavon Wilson,2013,S,Patriots,5,0
Tavon Austin,2013,WR,Rams,3,0
Stephen Schilling,2013,T,Chargers,1,0
Stephen Paea,2013,DT,Bears,5,0
Stephen Nicholas,2013,LB,Lions,1,0
Shaun Phillips,2013,LB,Broncos,1,0
Shaun Draughn,2013,RB,Ravens,3,0
Sharrif Floyd,2013,DT,Vikings,2,0
Sharrif Floyd,2013,DT,Bears,1,0
Shareece Wright,2013,CB,Texans,1,0
Shareece Wright,2013,CB,Chargers,8,0
Shane Vereen,2013,RB,Patriots,8,0
Shane Lechler,2013,P,Texans,1,0
Shamarko Thomas,2013,S,Steelers,3,0
Seyi Ajirotutu,2013,WR,Chargers,1,0
Sergio Brown,2013,S,Colts,5,0
Sen'Derrick Marks,2013,DT,Jaguars,8,0
Sebastian Vollmer,2013,T,Patriots,2,0
Sebastian Janikowski,2013,K,Saints,1,0
Sebastian Janikowski,2013,K,Raiders,3,0
Sean Weatherspoon,2013,LB,Falcons,7,0
Sean Smith,2013,CB,Chiefs,1,0
Sean McGrath,2013,TE,Chiefs,6,0
Shaun Phillips,2013,DE,Broncos,2,0
Shaun Prater,2013,CB,Vikings,1,0
Stephen Nicholas,2013,LB,Falcons,3,0
Shaun Rogers,2013,DT,Giants,4,0
Stephen Hill,2013,WR,Buccaneers,1,0
Stephen Bowen,2013,DE,Redskins,6,0
Stefen Wisniewski,2013,C,Raiders,3,0
Stacy McGee,2013,DT,Raiders,2,0
Spencer Ware,2013,RB,Seahawks,5,0
Spencer Paysinger,2013,LB,Giants,2,0
Spencer Lanning,2013,P,Browns,6,0
Sio Moore,2013,LB,Saints,1,0
Sidney Rice,2013,WR,Seahawks,3,0
Shonn Greene,2013,RB,Titans,6,0
Shiloh Keo,2013,S,Texans,8,0
Sherrick McManis,2013,CB,Bears,2,0
Sheldon Richardson,2013,DT,Jets,7,0
Shea McClellin,2013,DE,Bears,3,0
Shawn Lauvao,2013,G,Dolphins,1,0
Shawn Lauvao,2013,G,Browns,5,0
Shaun Suisham,2013,K,Steelers,1,0
Toby Gerhart,2013,RB,Vikings,3,0
Tom Brady,2013,QB,Patriots,11,0
Tom Crabtree,2013,TE,Buccaneers,5,0
William Hayes,2013,DE,Rams,4,0
Will Yeatman,2013,T,Dolphins,2,0
Will Witherspoon,2013,LB,Rams,3,0
Will Tukuafu,2013,RB,Niners,1,0
Will Svitek,2013,T,Patriots,9,0
Will Svitek,2013,T,Colts,1,0
Will Montgomery,2013,C,Redskins,2,0
Will Johnson,2013,RB,Titans,1,0
Will Davis,2013,CB,Dolphins,2,0
Will Davis,2013,CB,Bills,1,0
Will Blackmon,2013,CB,Jaguars,3,0
Whitney Mercilus,2013,LB,Texans,1,0
Whitney Mercilus,2013,LB,Redskins,1,0
Wesley Woodyard,2013,LB,Broncos,4,0
Walter Thurmond,2013,CB,Seahawks,2,0
Wade Smith,2013,G,Texans,15,0
Wade Smith,2013,G,Redskins,1,0
Vontae Davis,2013,CB,Colts,4,0
William Gholston,2013,DE,Buccaneers,1,0
William Moore,2013,S,Falcons,1,0
Virgil Green,2013,TE,Broncos,2,0
Willie Colon,2013,G,Jets,9,0
Zeke Motta,2013,S,Falcons,5,0
Zaviar Gooden,2013,LB,Titans,9,0
Zaviar Gooden,2013,LB,Browns,1,0
Zak DeOssie,2013,LS,Giants,1,0
Zack Bowman,2013,CB,Bears,1,0
Zach Sudfeld,2013,TE,Patriots,4,0
Zach Sudfeld,2013,TE,Jets,1,0
Zach Strief,2013,T,Saints,6,0
Zach Strief,2013,T,Falcons,1,0
Zach Miller,2013,TE,Seahawks,5,0
Zach Ertz,2013,TE,Eagles,1,0
Zach Brown,2013,LB,Titans,2,0
Yeremiah Bell,2013,S,Cardinals,1,0
Winston Justice,2013,T,Broncos,9,0
Winston Guy,2013,S,Jaguars,3,0
