Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Darrell Jackson,2006,WR,Cowboys,1,0
Darrent Williams,2006,CB,Cowboys,1,0
Abdul Hodge,2006,LB,Packers,1,0
Daunte Culpepper,2006,QB,Dolphins,1,0
Jeff Dugan,2006,TE,Vikings,1,0
Jeff Ulbrich,2006,LB,49ers,1,0
Jeno James,2006,G,Dolphins,1,0
Jerame Tuman,2006,TE,Steelers,1,0
Jereme Perry,2006,CB,Browns,1,0
Jeremiah Trotter,2006,LB,Eagles,1,0
Jeremy Shockey,2006,TE,Giants,1,0
Jerious Norwood,2006,RB,Falcons,1,0
Jerry Porter,2006,WR,Raiders,1,0
Jim Finn,2006,RB,Giants,1,0
Jimmy Wilkerson,2006,DE,Chiefs,1,0
Joe Berger,2006,G,Dolphins,1,0
Joe Horn,2006,WR,Saints,1,0
Joe Tafoya,2006,DE,Seahawks,1,0
John Thornton,2006,DT,Bengals,1,0
John Welbourn,2006,T,Chiefs,1,0
Jon Jansen,2006,T,Redskins,1,0
Jonas Jennings,2006,T,49ers,1,0
Jonathan Ogden,2006,T,Ravens,1,0
Jason Webster,2006,CB,Falcons,1,0
Jamal Lewis,2006,RB,Ravens,1,0
Hines Ward,2006,WR,Steelers,2,0
Devale Ellis,2006,WR,Lions,1,0
Dave Moore,2006,TE,Buccaneers,1,0
David Bowens,2006,DE,Dolphins,1,0
David Martin,2006,TE,Packers,1,0
DeAngelo Hall,2006,CB,Falcons,1,0
Dedrick Roper,2006,LB,Eagles,1,0
Deltha O'Neal,2006,CB,Bengals,1,0
Derek M. Smith,2006,LB,49ers,1,0
Derrick Johnson,2006,LB,Broncos,1,0
Donald Driver,2006,WR,Packers,1,0
Grady Jackson,2006,DT,Falcons,1,0
Edgerton Hartwell,2006,LB,Falcons,1,0
Ellis Wyms,2006,DT,Buccaneers,1,0
Eric Johnson,2006,TE,49ers,1,0
Fabian Washington,2006,CB,Raiders,1,0
Floyd Womack,2006,G,Cowboys,1,0
Floyd Womack,2006,G,Seahawks,1,0
Gary Brackett,2006,LB,Colts,1,0
Gerome Sapp,2006,S,Ravens,1,0
Zack Crockett,2006,RB,Raiders,1,0
Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Eric Smith,2007,S,Jets,1,1
Trent Dilfer,2007,QB,Niners,1,1
Daniel Federkeil,2007,T,Colts,1,1
Dwayne Blakley,2007,TE,Falcons,1,1
Mike Peterson,2007,LB,Jaguars,1,0
Mike Peterson,2007,LB,Seahawks,1,0
Mike Rucker,2007,DE,Panthers,1,0
Mike Sellers,2007,RB,Redskins,1,0
Nate Washington,2007,WR,Steelers,1,0
Nathan Vasher,2007,CB,Bears,1,0
Nick Collins,2007,S,Packers,2,0
Aaron Glenn,2007,CB,Seahawks,1,0
Nick Ferguson,2007,S,Broncos,1,0
Matt Schaub,2007,QB,Texans,1,0
Nick Kaczur,2007,T,Patriots,1,0
Niko Koutouvides,2007,LB,Redskins,1,0
Niko Koutouvides,2007,LB,Seahawks,1,0
Pat Watkins,2007,CB,Cowboys,1,0
Patrick Crayton,2007,WR,Cowboys,2,0
Patrick Kerney,2007,DE,Seahawks,1,0
Michael Green,2007,S,Seahawks,1,0
Matt Giordano,2007,CB,Colts,1,0
Randy Thomas,2007,G,Redskins,1,0
Marvin Harrison,2007,WR,Colts,1,0
Kevin Dockery,2007,CB,Patriots,1,0
Kindal Moorehead,2007,DT,Panthers,1,0
Koren Robinson,2007,WR,Packers,2,0
Kris Brown,2007,K,Texans,1,0
Kyle Brady,2007,TE,Patriots,1,0
Kyle Eckel,2007,RB,Patriots,1,0
LaBrandon Toefield,2007,RB,Seahawks,1,0
Larry Allen,2007,G,Niners,1,0
Laveranues Coles,2007,WR,Jets,1,0
Leonard Davis,2007,G,Cowboys,1,0
Manuel Wright,2007,DT,Patriots,1,0
Marc Colombo,2007,T,Cowboys,1,0
Marcus Hudson,2007,CB,Niners,1,0
Mark Campbell,2007,TE,Saints,1,0
Mark Tauscher,2007,T,Packers,2,0
Marvel Smith,2007,T,Jaguars,1,0
Marvel Smith,2007,T,Steelers,1,0
Plaxico Burress,2007,WR,Patriots,1,0
Reggie Nelson,2007,S,Seahawks,1,0
Rashad Jeanty,2007,LB,Bengals,1,0
Kasey Studdard,2007,G,Texans,1,0
Tony Romo,2007,QB,Cowboys,1,0
Tony Scheffler,2007,TE,Broncos,1,0
Tony Ugoh,2007,T,Colts,1,0
Torry Holt,2007,WR,Rams,1,0
Tracy White,2007,LB,Packers,2,0
Travis Kirschke,2007,DE,Steelers,1,0
Travis Minor,2007,RB,Rams,1,0
Troy Polamalu,2007,S,Jaguars,1,0
Tyjuan Hagler,2007,LB,Colts,1,0
Walt Harris,2007,CB,Niners,1,0
Walter Jones,2007,T,Seahawks,1,0
Warrick Dunn,2007,RB,Falcons,1,0
Wes Welker,2007,WR,Patriots,1,0
Will Blackmon,2007,CB,Packers,3,0
Will Witherspoon,2007,LB,Rams,1,0
Willie Anderson,2007,T,Bengals,1,0
Willie Andrews,2007,S,Patriots,1,0
Tom Brady,2007,QB,Patriots,1,0
Todd Weiner,2007,T,Falcons,1,0
Tim Jennings,2007,CB,Colts,2,0
Shaun Alexander,2007,RB,Redskins,1,0
Rocky Bernard,2007,DT,Seahawks,1,0
Rodney Harrison,2007,S,Patriots,1,0
Ron Dayne,2007,RB,Texans,1,0
Ruvell Martin,2007,WR,Packers,1,0
Ryan Diem,2007,T,Colts,1,0
Ryan Grant,2007,RB,Packers,2,0
Ryan Lilja,2007,G,Colts,1,0
Shaun Alexander,2007,RB,Seahawks,1,0
Terry Glenn,2007,WR,Cowboys,3,0
Shawn Springs,2007,CB,Redskins,1,0
Shawntae Spencer,2007,CB,Niners,1,0
Sinorice Moss,2007,WR,Patriots,1,0
Stephen Neal,2007,G,Patriots,1,0
Stephen Spach,2007,TE,Patriots,1,0
Steve Smith,2007,WR,Panthers,1,0
Teddy Lehman,2007,LB,Lions,1,0
Keary Colbert,2007,WR,Panthers,1,0
Justin Hartwig,2007,C,Panthers,1,0
Kabeer Gbaja-Biamila,2007,DE,Packers,1,0
Aaron Rouse,2007,S,Packers,1,0
Bryant McFadden,2007,CB,Jaguars,1,0
Bryant Young,2007,DT,Niners,1,0
Bubba Franks,2007,TE,Packers,2,0
Byron Leftwich,2007,QB,Falcons,1,0
C.J. Mosley,2007,DE,Jets,1,0
Chad Clifton,2007,T,Packers,1,0
Charles Woodson,2007,CB,Packers,3,0
Charlie Johnson,2007,T,Colts,2,0
Chris Baker,2007,TE,Jets,1,0
Chris Canty,2007,DE,Cowboys,1,0
Chris Davis,2007,WR,Jets,1,0
Chris Harris,2007,S,Panthers,1,0
Chris Myers,2007,C,Broncos,1,0
Clark Haggans,2007,LB,Steelers,1,0
Clint Kriewaldt,2007,LB,Steelers,1,0
Clinton Portis,2007,RB,Redskins,1,0
D.J. Hackett,2007,WR,Seahawks,1,0
Brian Urlacher,2007,LB,Bears,1,0
Brian Leonard,2007,RB,Rams,1,0
Brandon Williams,2007,WR,Rams,1,0
Anthony Clement,2007,T,Jets,1,0
Ahmad Bradshaw,2007,RB,Patriots,1,0
Alge Crumpler,2007,TE,Falcons,1,0
Allen Rossum,2007,CB,Jaguars,1,0
Andre Frazier,2007,LB,Steelers,1,0
Andre Gurode,2007,C,Cowboys,1,0
Andre Hall,2007,RB,Broncos,1,0
Anthony Adams,2007,DT,Bears,1,0
Anthony Fasano,2007,TE,Cowboys,1,0
Brandon Stokley,2007,WR,Broncos,1,0
Anthony Henry,2007,CB,Cowboys,2,0
Antwaan Randle El,2007,WR,Redskins,1,0
Antwain Spann,2007,CB,Patriots,1,0
Arnaz Battle,2007,WR,Niners,1,0
Bob Sanders,2007,S,Colts,1,0
Brad Smith,2007,WR,Jets,1,0
Brandon Jacobs,2007,RB,Patriots,1,0
Danny Clark,2007,LB,Texans,1,0
Darrelle Revis,2007,CB,Jets,1,0
DeMeco Ryans,2007,LB,Texans,1,0
Jeff Ulbrich,2007,LB,Niners,1,0
Isaac Sopoaga,2007,DT,Niners,1,0
Isaiah Stanback,2007,WR,Cowboys,1,0
James Hall,2007,DE,Rams,1,0
James Jones,2007,WR,Packers,1,0
James Thrash,2007,WR,Redskins,1,0
Jason Spitz,2007,G,Packers,1,0
Javon Walker,2007,WR,Broncos,1,0
Joe Horn,2007,WR,Falcons,1,0
Ike Taylor,2007,CB,Steelers,1,0
Joe Kowalewski,2007,TE,Jets,1,0
John Engelberger,2007,DE,Broncos,1,0
John Henderson,2007,DT,Jaguars,1,0
Johnny Jolly,2007,DT,Packers,2,0
Jonathan Scott,2007,T,Lions,1,0
Josh Thomas,2007,DE,Colts,1,0
Julius Peppers,2007,DE,Panthers,1,0
Isaac Snell,2007,G,Broncos,1,0
Ikaika Alama-Francis,2007,DE,Lions,1,0
Deion Branch,2007,WR,Redskins,1,0
Frank Gore,2007,RB,Niners,1,0
Deion Branch,2007,WR,Seahawks,1,0
Derek M. Smith,2007,LB,Niners,1,0
Deshea Townsend,2007,CB,Jaguars,1,0
Dewayne Robertson,2007,DT,Jets,1,0
Dewayne White,2007,DE,Lions,1,0
Dylan Gandy,2007,C,Colts,1,0
Eric Bassey,2007,CB,Rams,1,0
Fred Miller,2007,T,Bears,1,0
Hunter Hillenmeyer,2007,LB,Bears,1,0
Geoff Hangartner,2007,G,Panthers,1,0
Grady Jackson,2007,DT,Jaguars,1,0
Grady Jackson,2007,DT,Seahawks,1,0
Greg Jennings,2007,WR,Packers,1,0
Hamza Abdullah,2007,S,Broncos,1,0
Hanik Milligan,2007,S,Rams,1,0
Hines Ward,2007,WR,Jaguars,1,0
Willie Reid,2007,WR,Jaguars,1,0
Player,Season,Position,Team,TotalInjuryCount,ConcussionTotal
Drew Stanton,2008,QB,Lions,2,2
Mike Richardson,2008,CB,Patriots,2,2
Nick Hardwick,2008,C,Chargers,1,1
Mike Furrey,2008,WR,Lions,1,1
Luke Lawton,2008,RB,Raiders,1,1
Tory Humphrey,2008,TE,Packers,2,1
Ahmard Hall,2008,RB,Titans,1,1
L.J. Smith,2008,TE,Eagles,3,1
Vincent Jackson,2008,WR,Chargers,1,1
Ikaika Alama-Francis,2008,DE,Buccaneers,1,1
Benny Sapp,2008,CB,Browns,1,1
Mike Furrey,2008,WR,Chiefs,1,1
Vernon Fox,2008,S,Broncos,1,1
Josh Wilson,2008,CB,Seahawks,2,1
Mike Furrey,2008,WR,Buccaneers,1,1
Marcus Trufant,2008,CB,Seahawks,1,1
Marc Bulger,2008,QB,Rams,1,1
Travis Minor,2008,RB,Rams,1,1
Justin McCareins,2008,WR,Titans,2,1
Jay Ratliff,2008,DT,Cowboys,1,1
Jordan Babineaux,2008,CB,Seahawks,1,1
Colin Allred,2008,LB,Titans,2,1
Marcus Hudson,2008,CB,Niners,1,1
Scott Wells,2008,C,Packers,2,1
Raymond Ventrone,2008,S,Patriots,1,1
Kevin Curtis,2008,WR,Eagles,4,1
Jonathan Goff,2008,LB,Ravens,1,1
